This is a development document only and has no instructional or debugging value.

VIDEO
smoothstreaming Smooth Streaming Muxer
sup             raw HDMV Presentation Graphic Stream
subtitles       subtitles
ttml            TTML subtitle
uncodedframecrc uncoded framecrc testing
webvtt          WebVTT subtitle
wtv             Windows Television WTV
oma             Sony OpenMG audio
rso             Lego Mindstorms RSO
rtp             RTP output
rtsp            RTSP output
scc             Scenarist Closed Captions
sdl             SDL2 output device
sdl2            SDL2 output device
segment         segment
sap             SAP output
jacosub         JACOsub subtitle format
kvag            Simon & Schuster Interactive VAG
microdvd        MicroDVD subtitle format
ffmetadata      FFmpeg metadata in text
fifo            FIFO queue pseudo-muxer
fifo_test       Fifo test muxer
fits            Flexible Image Transport System
framecrc        framecrc testing
framehash       Per-frame hash testing
framemd5        Per-frame MD5 testing
dash            DASH Muxer
crc             CRC testing
aqtitle         AQTitle subtitles
dvbsub          raw dvbsub
dvbtxt          dvbtxt
gsm             raw GSM
jacosub         JACOsub subtitle format
ass             SSA SubStation Alpha subtitle
vobsub          VobSub subtitle format
mpl2            MPL2 subtitles
mpsub           MPlayer subtitles
pjs             PJS Phoenix Japanimation Society subtitles
realtext        RealText subtitle format
sami            SAMI subtitle format
stl             Spruce subtitle format
subviewer       SubViewer subtitle format
subviewer1      SubViewer v1 subtitle format
vplayer         VPlayer subtitles
tedcaptions     TED Talks captions
txd             Renderware TeXture Dictionary

srt,stream_segment,ssegment,streamhash,sup,subtitles,ttml,uncodedframecrc,webvtt,wtv,oma,rso,rtp,rtsp,scc,sdl,sdl2,segment,sap,jacosub,kvag,microdvd,ffmetadata,fifo,fifo_test,fits,framecrc,framehash,framemd5,dash,crc,dvbsub,dvbtxt,gsm,ass,vobsub,mpl2,mpsub,pjs,realtext,sami,stl,subviewer,subviewer1,sunrast_pipe,vplayer,tedcaptions,txd

54

AUDIO
sox             SoX Sound eXchange native
spdif           IEC 61937 used on S/PDIF IEC958
spx             Ogg Speex
tta             TTA True Audio
u16be           PCM unsigned 16-bit big-endian
u16le           PCM unsigned 16-bit little-endian
u24be           PCM unsigned 24-bit big-endian
u24le           PCM unsigned 24-bit little-endian
u32be           PCM unsigned 32-bit big-endian
u32le           PCM unsigned 32-bit little-endian
u8              PCM unsigned 8-bit
voc             Creative Voice
wav             WAV / WAVE Waveform Audio
wv              raw WavPack
wsaud           Westwood Studios audio
mulaw           PCM mu-law
mxf             MXF Material eXchange Format
mxf_d10         MXF Material eXchange Format D-10 Mapping
mxf_opatom      MXF Material eXchange Format Operational Pattern Atom
oga             Ogg Audio
ogg             Ogg
opus            Ogg Opus
oss             OSS Open Sound System
psp             PSP MP4 MPEG-4 Part 14
rawvideo        raw video
s16be           PCM signed 16-bit big-endian
s16le           PCM signed 16-bit little-endian
s24be           PCM signed 24-bit big-endian
s24le           PCM signed 24-bit little-endian
s32be           PCM signed 32-bit big-endian
s32le           PCM signed 32-bit little-endian
s8              PCM signed 8-bit
sbc             raw SBC
ilbc            iLBC storage
ircam           Berkeley/IRCAM/CARL Sound Format
latm            LOAS/LATM
lrc             LRC lyrics
mp2             MP2 MPEG audio layer 2
mp3             MP3 MPEG audio layer 3
mlp             raw MLP
flac            raw FLAC
g722            raw G.722
g723_1          raw G.723.1
g726            raw big-endian G.726
g726le          raw little-endian G.726
gsm             raw GSM
aac             AVS2-P2/IEEE1857.4
bit             G.729 BIT file format
caf             Apple CAF Core Audio Format
daud            D-Cinema audio
dts             raw DTS
eac3            raw E-AC-3
f32be           PCM 32-bit floating-point big-endian
f32le           PCM 32-bit floating-point little-endian
f64be           PCM 64-bit floating-point big-endian
f64le           PCM 64-bit floating-point little-endian
ac3             raw AC-3
ac4             raw AC-4
adts            ADTS AAC Advanced Audio Coding
aiff            Audio IFF
alaw            PCM A-law
amr             3GPP AMR
aptx            raw aptX Audio Processing Technology for Bluetooth
aptx_hd         raw aptX HD Audio Processing Technology for Bluetooth
argo_asf        Argonaut Games ASF
argo_cvg        Argonaut Games CVG
ast             AST Audio Stream
au              Sun AU
a64             video for Commodore 64 though this is primarily a video format, it can also contain audio
aa              Audible AA format files
aac             raw ADTS AAC Advanced Audio Coding
aax             CRI AAX
ac3             raw AC-3
ac4             raw AC-4
acm             Interplay ACM
act             ACT Voice file format
adp             ADP
adx             CRI ADX
aea             MD STUDIO audio
afc             AFC
aiff            Audio IFF
aix             CRI AIX
alaw            PCM A-law
alp             LEGO Racers ALP
amr             3GPP AMR
amrnb           raw AMR-NB
amrwb           raw AMR-WB
apac            raw APAC
apc             CRYO APC
ape             Monkey's Audio
apm             Ubisoft Rayman 2 APM
aptx            raw aptX
aptx_hd         raw aptX HD
argo_asf        Argonaut Games ASF
ast             AST Audio Stream
au              Sun AU
bfstm           BFSTM Binary Cafe Stream
binka           Bink Audio
bit             G.729 BIT file format
boa             Black Ops Audio
bonk            raw Bonk
brstm           BRSTM Binary Revolution Stream
caf             Apple CAF Core Audio Format
cavsvideo       raw Chinese AVS Audio Video Standard
codec2          codec2 .c2 demuxer
codec2raw       raw codec2 demuxer
daud            D-Cinema audio
dfpwm           raw DFPWM1a
dsf             DSD Stream File DSF
dss             Digital Speech Standard DSS
dts             raw DTS
eac3            raw E-AC-3
epaf            Ensoniq Paris Audio File
f32be           PCM 32-bit floating-point big-endian
f32le           PCM 32-bit floating-point little-endian
f64be           PCM 64-bit floating-point big-endian
f64le           PCM 64-bit floating-point little-endian
flac            raw FLAC
fsb             FMOD Sample Bank
fwse            Capcom's MT Framework sound
g722            raw G.722
g723_1          G.723.1
g726            raw big-endian G.726 "left aligned"
g726le          raw little-endian G.726 "right aligned"
g729            G.729 raw format demuxer
hca             CRI HCA
idf             iCE Draw File
ilbc            iLBC storage
ircam           Berkeley/IRCAM/CARL Sound Format
kux             KUX YouKu
kvag            Simon & Schuster Interactive VAG
vag             Simon & Schuster Interactive VAG
laf             LAF Limitless Audio Format
lavfi           Libavfilter virtual input device
loas            LOAS AudioSyncStream
lrc             LRC lyrics
luodat          Video CCTV DAT
lvf             LVF
lxf             VR native stream LXF
mca             MCA Audio Format
mcc             MacCaption
mgsts           Metal Gear Solid: The Twin Snakes
mlp             raw MLP
mlv             Magic Lantern Video MLV
mm              American Laser Games MM
mmf             Yamaha SMAF
mods            MobiClip MODS
moflex          MobiClip MOFLEX
mp3             MP2/3 MPEG audio layer 2/3
mpc             Musepack
mpc8            Musepack SV8
msf             Sony PS3 MSF
msnwctcp        MSN TCP Webcam stream
msp             Microsoft Paint MSP
mtaf            Konami PS2 MTAF
mulaw           PCM mu-law
musx            Eurocom MUSX
mxf             MXF Material eXchange Format
nc              NC camera feed
nistsphere      NIST SPeech HEader REsources
nsp             Computerized Speech Lab NSP
oma             Sony OpenMG audio
oss             OSS Open Sound System capture
paf             Amazing Studio Packed Animation File
pam_pipe        piped pam sequence
pbm_pipe        piped pbm sequence
pfm_pipe        piped pfm sequence
pmp             Playstation Portable PMP
pp_bnk          Pro Pinball Series Soundbank
psxstr          Sony Playstation STR
pva             TechnoTrend PVA
pvf             PVF Portable Voice Format
qcp             QCP
rka             RKA RK Audio
rl2             RL2
rm              RealMedia
rpl             RPL / ARMovie
rso             Lego Mindstorms RSO
rtp             RTP input
s16be           PCM signed 16-bit big-endian
s16le           PCM signed 16-bit little-endian
s24be           PCM signed 24-bit big-endian
s24le           PCM signed 24-bit little-endian
s32be           PCM signed 32-bit big-endian
s32le           PCM signed 32-bit little-endian
s337m           SMPTE 337M
s8              PCM signed 8-bit
sap             SAP input
sbc             raw SBC low-complexity subband codec
sbg             SBaGen binaural beats script
scd             Square Enix SCD
sdns            Xbox SDNS
sdp             SDP
sds             MIDI Sample Dump Standard
sdx             Sample Dump eXchange
siff            Beam Software SIFF
simbiosis_imx   Simbiosis Interactive IMX
sln             Asterisk raw pcm
smk             Smacker
smush           LucasArts Smush
sol             Sierra SOL
sox             SoX Sound eXchange native
spdif           IEC 61937 compressed data in S/PDIF
svag            Konami PS2 SVAG
svs             Square SVS
tak             raw TAK
thp             THP
tiertexseq      Tiertex Limited SEQ
tta             TTA True Audio
tty             Tele-typewriter
ty              TiVo TY Stream
u16be           PCM unsigned 16-bit big-endian
u16le           PCM unsigned 16-bit little-endian
u24be           PCM unsigned 24-bit big-endian
u24le           PCM unsigned 24-bit little-endian
u32be           PCM unsigned 32-bit big-endian
u32le           PCM unsigned 32-bit little-endian
u8              PCM unsigned 8-bit
usm             CRI USM
vag             Sony PS2 VAG
vidc            PCM Archimedes VIDC
voc             Creative Voice
vpk             Sony PS2 VPK
vqf             Nippon Telegraph and Telephone Corporation NTT TwinVQ
w64             Sony Wave64
wady            Marble WADY
wav             WAV / WAVE Waveform Audio
wavarc          Waveform Archiver
wsaud           Westwood Studios audio
wsd             Wideband Single-bit Data WSD
wsvqa           Westwood Studios VQA
wv              WavPack
